Fecha,Totales,Recuperados,Muertes,Hospitalizados
2020-03-19,177.0,3.0,1.0,0.0
2020-03-20,217.9634938097119,102.60020196930112,1.0,5.428965816152508
2020-03-21,264.91096286760956,165.63115639938837,1.3257379489691505,8.20684919199282
2020-03-22,318.98488506578127,217.77675579806262,1.818148900488719,10.05482587648467
2020-03-23,378.4147487033036,269.7923023476672,2.4214384530778,11.671810179770226
2020-03-24,442.0269606879693,324.8919678304969,3.1217470638640132,13.260986191651789
2020-03-25,509.43836190227813,383.666569799661,3.9174062353631203,14.857927238835408
2020-03-26,580.6835457319252,446.1287277840827,4.808881869693245,16.46238035842775
2020-03-27,655.954104600406,512.3035749170382,5.796624691198909,18.074805323153953
2020-03-28,727.3999886432052,582.3115813641334,6.881113010588148,19.700802789776745
2020-03-29,792.4538751472192,651.6812249545674,8.06316117797475,21.094996449196206
2020-03-30,850.757124937973,717.1638445880598,9.328860964926525,22.108395334810726
2020-03-31,902.7360282640709,777.2597767647524,10.65536468501517,22.705394063814385
2020-04-01,949.0204575512757,831.6097629294156,12.017688328844027,22.91686196474931
2020-04-02,990.2379640928957,880.4224127889465,13.39270004672899,22.800881317684738
2020-04-03,1026.956116354565,924.1307776357512,14.760752925790072,22.42073083733981
2020-04-04,1059.6756276320461,963.2239037909619,16.105996776030466,21.83507445168332
2020-04-05,1088.8372533069696,998.1763081533637,17.41610124313146,21.094676319094294
2020-04-06,1114.8303834417945,1029.4238873846944,18.68178182227712,20.242044843847108
2020-04-07,1138.0003351988769,1057.3591008955418,19.896304512907946,19.3121703913895
2020-04-08,1158.6541296804946,1082.3330287683561,21.055034736391313,18.33354835714917
2020-04-09,1177.065132659476,1104.6593007809734,22.155047637820267,17.329180268009104
2020-04-10,1193.4769160641033,1124.6181412413248,23.194798453900805,16.317459901473942
2020-04-11,1208.106571926259,1142.4600392754303,24.173846047989244,15.312931625728295
2020-04-12,1221.1476135445077,1158.4089805188999,25.09262194553294,14.326932951289253
2020-04-13,1232.772542346935,1172.665288822936,25.952237922610294,13.368137973010331
2020-04-14,1243.1351301168202,1185.4081391496345,26.754326200990928,12.443017045195198
2020-04-15,1252.3724521242902,1196.7977916841028,27.500907223702626,11.556225566016222
2020-04-16,1260.6066995227159,1206.9775850791875,28.194280757663613,10.710932527155492
2020-04-17,1267.9467951966594,1216.0757181783836,28.83693670929294,9.909097726356022
2020-04-18,1274.4898343445896,1224.2068440666587,29.431482572874287,9.151705162950217
2020-04-19,1280.3223687425816,1231.4734967013399,29.98058488265131,8.438959029195093
2020-04-20,1285.5215516052865,1237.9673678168938,30.486922424403012,7.770447793807458
2020-04-21,1290.1561581517897,1243.7704497962236,30.95314929203146,7.145281099061072
2020-04-22,1294.2874953582407,1248.9560585221507,31.381866157975125,6.562203529245161
2020-04-23,1297.9702129249997,1253.5897487548746,31.77559836972984,6.019688736624186
2020-04-24,1301.2530261832205,1257.7301332770626,32.13677969392729,5.51601691756685
2020-04-25,1304.179360502152,1261.4296158798288,32.467740708981296,5.04933820523184
2020-04-26,1306.78792572081,1264.7350472146081,32.77070100129521,4.617724177110896
2020-04-27,1309.1132282034591,1267.6883115956375,33.047764451921864,4.219209358128822
2020-04-28,1311.1860272909917,1270.3268519952574,33.30091701340959,3.851824326208452
2020-04-29,1313.0337421871752,1272.6841397172473,33.532026472982096,3.513621791251022
2020-04-30,1314.6808146616504,1274.7900945567726,33.74284378045716,3.202696815495244
2020-05-01,1316.1490323670685,1276.6714606479375,33.93500558938688,2.917202168586966
2020-05-02,1317.4578170478783,1278.3521426556467,34.11003771950209,2.6553596606710466
2020-05-03,1318.6244814526108,1279.8535064816601,34.26935929914236,2.4154681681037173
2020-05-04,1319.664458348162,1281.19464821753,34.414287389228576,2.1959089559730547
2020-05-05,1320.5915046659093,1282.392634686189,34.546041926586966,1.99514880710088
2020-05-06,1321.4178834797547,1283.4627185638515,34.66575085501302,1.8117413863650351
2020-05-07,1322.1545262228396,1284.4185307597938,34.77445533819492,1.6443272001003248
2020-05-08,1322.8111772900222,1285.2722524503579,34.87311497020094,1.4916324514195098
2020-05-09,1323.3965229373634,1286.0347689127998,34.9626129172861,1.3524670421789364
2020-05-10,1323.9183061850047,1286.715807078008,35.04376093981685,1.2257219295837343
2020-05-11,1324.3834292424865,1287.3240585204742,35.11730425559186,1.110366009290681
2020-05-12,1324.7980448119733,1287.8672894224703,35.18392621614932,1.0054426661541132
2020-05-13,1325.1676374766964,1288.3524388881733,35.24425277611856,0.9100661078724611
2020-05-14,1325.4970962519164,1288.7857068383191,35.2988567425909,0.8234175749151605
2020-05-15,1325.7907792571293,1289.172632586877,35.34826179708581,0.7447415017599018
2020-05-16,1326.0525713657687,1289.51816508447,35.39294628719141,0.6733416890143425
2020-05-17,1326.2859355948642,1289.8267257101365,35.433346788532255,0.6085775331572626
2020-05-18,1326.4939589140592,1290.1022643998776,35.46986144052171,0.549860349893887
2020-05-19,1326.679393080547,1290.3483098170163,35.50285306151534,0.496649818212583
2020-05-20,1326.8446910395808,1290.5680141954656,35.532652050608085,0.44845056491767715
2020-05-21,1326.9920393721486,1290.764193419933,35.55955908450316,0.4048089033622724
2020-05-22,1327.1233872196422,1290.9393628476794,35.58384761870489,0.36530973520348775
2020-05-23,1327.2404720670227,1291.0957693235011,35.60576620281711,0.32957362004694224
2020-05-24,1327.344842726636,1291.2354197910497,35.62554062001992,0.29725401461215184
2020-05-25,1327.4378798261207,1291.3601068618636,35.64337586089665,0.26803468057697477
2020-05-26,1327.5208140713703,1291.471431664721,35.65945794173127,0.24162725824797987
2020-05-27,1327.594742526371,1291.5708242638257,35.673955577226145,0.2177690016917484
2020-05-28,1327.660643125638,1291.6595619040063,35.687021717327646,0.19622066983617747
2020-05-29,1327.7193876102865,1291.7387853139135,35.698794957517805,0.17676456723563236
2020-05-30,1327.771753059195,1291.809513273083,35.70940083155196,0.15920272758711104
2020-05-31,1327.8184321687497,1291.872655627342,35.71895299520719,0.14335523275719775
2020-06-01,1327.8600424159038,1291.9290249179917,35.727554309172625,0.12905865991854087
2020-06-02,1327.8971342260088,1291.979346771701,35.73529782876773,0.1161646492824562
2020-06-03,1327.9301982540526,1292.0242691828093,35.74226770772467,0.10453858499579848
2020-06-04,1327.9596718750304,1292.0643708061837,35.74854002282442,0.09405838192904983
2020-06-05,1327.9859449695782,1292.1001683656768,35.75418352574016,0.08461337125324046
2020-06-06,1328.0093650813915,1292.132123272403,35.75926032801536,0.07610327797054695
2020-06-07,1328.030242014504,1292.1606475369601,35.76382652469359,0.06843728384369845
2020-06-08,1328.0488519314442,1292.1861090507105,35.76793276172422,0.06153316947112652
2020-06-09,1328.0654410064146,1292.2088363034122,35.771624751892475,0.055316529586293656
2020-06-10,1328.0802286816552,1292.2291225972433,35.774943743667656,0.049720055982085676
2020-06-11,1328.0934105703216,1292.247229810796,35.777926947026586,0.04468288278704194
2020-06-12,1328.1051610439833,1292.2633917611183,35.78060791999381,0.04014998915956531
2020-06-13,1328.1156355392725,1292.2778172065323,35.783016919343375,0.03607165477187957
2020-06-14,1328.1249726141411,1292.290692528647,35.78518121862969,0.03240296378231744
2020-06-15,1328.1332957805507,1292.302184127824,35.78712539645663,0.029103353287812696
2020-06-16,1328.1407151383314,1292.3124405624474,35.788871597653895,0.026136202522027596
