Fecha,Totales,Recuperados,Muertes,Hospitalizados
2020-03-19,177.0,3.0,1.0,0.0
2020-03-20,191.89581593080428,102.60020196930112,1.0,5.428965816152508
2020-03-21,208.96762286094892,150.62337615886884,1.3257379489691505,7.388811434125396
2020-03-22,245.24353162750492,179.62492072867386,1.7690666350166744,8.074376368197838
2020-03-23,297.9990353432167,212.20432118967727,2.253529217108544,8.871897528400604
2020-03-24,367.28918911073265,255.70777047605637,2.7858430688125817,10.168233324411549
2020-03-25,456.9822173039668,313.0796274709764,3.3959370682772723,12.063436529511442
2020-03-26,573.2171159865106,387.7271118683743,4.119743260047959,14.6706668008649
2020-03-27,724.0249668786278,484.5509194231713,4.999983268099855,18.170778972138372
2020-03-28,919.7445534549472,610.1357546270183,6.090230006428158,22.814506483223198
2020-03-29,1173.7547443584276,773.0669804105349,7.45910039542155,28.931254596177723
2020-03-30,1503.4114655814726,984.4796492981533,9.19497567119221,36.94949476271112
2020-03-31,1931.2396240980424,1258.817605168562,11.411945356954877,47.42613842074561
2020-04-01,2486.4717748395005,1614.8231412330106,14.257513662199617,61.08491888061991
2020-04-02,3207.0437935338578,2076.8184275416615,17.92260879503681,78.86602645712834
2020-04-03,4142.184555370093,2676.3666865802297,22.654570382464506,101.99042888630879
2020-04-04,5355.7757394563005,3454.4271527275887,28.773996115643033,132.0433135504479
2020-04-05,6930.709963695433,4464.150790516535,36.69659492866991,171.08234593367564
2020-04-06,8974.542918656953,5774.506903823429,46.96153568469044,221.7781011796729
2020-04-07,11626.82219074067,7474.98686188612,60.26822175547082,287.5961917896405
2020-04-08,15068.587611831335,9681.70369216696,77.52399326284925,373.033413787673
2020-04-09,19534.68226006989,12545.299847754828,99.90599809010962,483.9238402922185
2020-04-10,25329.698397697837,16261.195928114192,128.94142850764274,627.8354280478441
2020-04-11,32848.61941650539,21082.867896068237,166.6115541905134,814.5836465345517
2020-04-12,42603.520258337114,27339.03853133965,215.48657298258647,1056.8962305908067
2020-04-13,55258.07004447938,35455.9216268612,278.90034681803496,1371.2728034244076
2020-04-14,71672.05892459195,45985.97800883776,361.17671502349936,1779.0952902054642
2020-04-15,92958.76428674662,59645.0460155476,467.9224324358271,2308.0602638161363
2020-04-16,120558.69536727993,77360.21195564572,606.4060482647953,2994.023155801971
2020-04-17,156334.1187750654,100331.40400772872,786.0474376129135,3883.3670516198686
2020-04-18,202689.762780608,130110.43742071073,1019.0494607101054,5036.035707390678
2020-04-19,262726.1848074384,168702.10991345745,1321.2116031535463,6529.400984940437
2020-04-20,340433.3637210963,218692.92066226213,1712.9756622499726,8463.167397724212
2020-04-21,440932.94220917695,283413.9971600594,2220.7657061134255,10965.547003155734
2020-04-22,570777.8218498608,367145.71756722376,2878.6985263027696,14200.95885636917
2020-04-23,738316.8696758403,475372.0401699328,3730.7560576849196,18379.505001141395
2020-04-24,954129.3152420918,615092.2228965237,4833.526357753402,23768.42652919773
2020-04-25,1231526.483153661,795195.6620886646,6259.631949505268,30705.612084610017
2020-04-26,1587105.732211784,1026900.8195656545,8101.968674581869,39614.962956017225
2020-04-27,2041320.3462511704,1324249.9695904343,10478.866451942902,51022.93911982182
2020-04-28,2618997.3187991683,1704635.6704939955,13540.242799132211,65574.82977527808
2020-04-29,3349691.8556283065,2189310.2686380195,17474.732585648897,84048.12765197302
2020-04-30,4267716.834738488,2803795.1354263574,22517.620244767273,107358.81755825975
2020-05-01,5411639.819391202,3578063.435182863,28959.149298262855,136554.55871605658
2020-05-02,6823024.363944722,4546326.833382484,37152.42282122625,172787.10488153424
2020-05-03,8544243.113211384,5746230.072208234,47519.64911411831,217255.7903655348
2020-05-04,10615344.656984732,7217275.860349832,60554.996536050385,271115.90966230485
2020-05-05,13070223.052115064,8998398.555397637,76821.95111578867,335351.80067996896
2020-05-06,15932659.921448091,11124796.66695443,96943.05915658682,410624.90550167963
2020-05-07,19213038.741009012,13624394.873295726,121580.5534866876,497120.0460043775
2020-05-08,22906482.238859225,16514542.016836245,151407.75624695024,594423.1875781483
2020-05-09,26992735.190531183,19799617.54697158,187073.14750163912,701463.5304358217
2020-05-10,31437431.975196417,23469999.180336725,229160.95932778847,816536.8138879117
2020-05-11,36193818.01547564,27502365.287413478,278153.1681610631,937398.5497391431
2020-05-12,41203943.57755983,31860787.8744812,334397.0811454117,1061389.0528300935
2020-05-13,46398953.014704295,36497837.53900979,398080.4243152173,1185543.9753417587
2020-05-14,51699048.52680438,41355175.916465156,469213.0628357228,1306663.5130026524
2020-05-15,57014416.95273429,46363760.87136646,547612.873615882,1421352.1177991803
2020-05-16,62248364.770602494,51444454.70457093,632894.0006838327,1526075.3664754636
2020-05-17,67303057.7466454,56510064.414672226,724458.5226723606,1617287.996565712
