,Totales,Recuperados,Muertes,Hospitalizados
2020-03-12,16.0,1.0,0.0,0.0
2020-03-13,33.3076923076923,5.453124999999999,0.0,0.23437499999999997
2020-03-14,49.66085395323804,13.666463341346153,0.014062499999999999,0.6382842548076922
2020-03-15,67.24029593432155,24.195653098196868,0.05235955528846153,1.115186148007325
2020-03-16,87.03223966341926,36.69259710608988,0.11927072416890103,1.6379238252429125
2020-03-17,109.64542745778846,51.210510940304495,0.21754615368347577,2.203749563987961
2020-03-18,135.59848597220508,67.96737208996015,0.3497711275227534,2.8189199404344523
2020-03-19,165.4251721054433,87.268151219497,0.5189063239488205,3.493512743936432
2020-03-20,199.71764383962292,109.4824536233822,0.7285170885850064,4.239787643559137
2020-03-21,239.1493725938637,135.0419679347998,0.9829043471985548,5.0717877873081685
2020-03-22,284.4922216839232,164.44553065719157,1.287211614437045,6.00539046160201
2020-03-23,336.6328848967989,198.26771346120137,1.6475350421331654,7.058537026987544
2020-03-24,396.59068451150387,237.16965373318945,2.0710472637524178,8.251553085404215
2020-03-25,465.5376559604533,281.91184034579913,2.5661404488766704,9.607532796782108
2020-03-26,544.8215116553122,333.368932013808,3.142592416683597,11.152783651277375
2020-03-27,635.9920017701714,392.54683827647773,3.8117594357602393,12.917336486263258
2020-03-28,740.8312109056465,460.6023763530206,4.5867996249360345,14.935529336691541
2020-03-29,861.388390813951,538.8658809018764,5.482931385137527,17.24667602482129
2020-03-30,1000.0200125543789,628.8672060416317,6.517731946626805,19.895832355487936
