Fecha,Totales,Recuperados,Muertes,Hospitalizados
2020-03-19,177.0,3.0,1.0,0.0
2020-03-20,194.03088288088634,102.60020196930112,1.0,5.428965816152508
2020-03-21,213.5496488043515,151.85258482618758,1.3257379489691505,7.455812621912632
2020-03-22,252.6877218425911,182.7497376962618,1.7730867062839082,8.23658461363847
2020-03-23,309.0404235215216,217.72961024656718,2.2672817831022174,9.145296309889577
2020-03-24,382.9261763062105,264.25934587828755,2.8159995616955915,10.573462256153753
2020-03-25,478.48511670852525,325.4832840091438,3.450407297064817,12.629534955006083
2020-03-26,602.1959186112497,405.04497589532406,4.208179394365182,15.436037476103973
2020-03-27,762.5257298919792,508.13509696556713,5.134341642931418,19.184977809716404
2020-03-28,970.3692498448677,641.7053360214746,6.285440311514404,24.14108855606797
2020-03-29,1239.8112372863675,814.8078531253274,7.733905624878483,30.651518534335256
2020-03-30,1589.1030234773013,1039.17076779651,9.572996736938597,39.16721558289372
2020-03-31,2041.9048222185102,1329.9906093301342,11.92302967191222,50.27354466858784
2020-04-01,2628.8879649732403,1706.9643247612928,14.93944235202749,64.73025396895312
2020-04-02,3389.8106424891557,2195.6242455087217,18.82325759016468,83.52311215034898
2020-04-03,4376.208376337112,2829.0667781016687,23.83464431918562,107.9307501454665
